rate,property_type,area,bedRoom,bathroom,balcony,noOfFloor,facing,sector,society_name,Price,Study_room,Servant_room,Pooja_room,Other,age,feature_score,furnish_score
9654,house,8286.72,10,10,3+,4,,Sector 56,,8.0,1,1,1,0,Relatively New,15,180.0
4808,house,935.94,1,1,No,1,,Rajiv Nagar,,0.45,0,0,0,0,undefined,0,0.0
8222,house,450.01,2,2,1,1,,Vishnu Garden,,0.37,0,0,0,1,Mid,0,0.0
11111,house,1548.02,6,3,1,2,,Acharya Puri,,1.72,0,0,0,1,Old,0,0.0
3857,house,3500.13,10,6,3+,3,,Bhondsi,,1.35,0,0,0,0,Old,0,0.0
50000,house,100.0,2,2,No,1,,Sector 105,,0.5,0,0,0,0,undefined,0,0.0
11273,house,549.99,3,1,No,2,,Arjun Nagar,,0.62,0,0,0,0,undefined,0,0.0
8000,house,10000.0,3,9,2,3,,Dlf Phase,,8.0,0,0,0,0,Newly House,0,0.0
7627,house,2360.04,4,5,No,13,,Sector 92,,1.8,0,0,0,0,undefined,0,0.5
5666,house,3000.35,4,4,3+,1,North-East,Sector 108,,1.7,0,0,0,0,undefined,0,3.5
5000,house,1100.0,2,1,No,1,,Ashok Vihar Phase,,0.55,0,0,0,0,undefined,0,0.0
5000,house,3000.0,6,1,No,1,,Ashok Vihar Phase,,1.5,0,0,0,0,Newly House,0,0.0
6567,house,2360.29,3,2,No,1,,Sector 109,,1.55,0,0,0,0,undefined,0,3.5
22068,house,145.01,2,2,No,3,,Garhi Harsaru,,0.32,0,0,0,0,undefined,0,0.5
8386,house,2504.17,4,3,No,2,,Pratap Nagar,,2.1,0,0,0,0,undefined,0,0.5
12444,house,4500.16,34,34,3+,4,,Manohar Nagar,manohar nagar,5.6,0,0,0,0,Newly House,0,61.5
11111,house,585.01,4,2,2,,,Laxman Vihar,,0.65,0,0,0,0,Mid,0,11.5
28674,house,558.0,4,6,1,3,,Arjun Nagar,,1.6,0,0,0,0,Relatively New,0,0.0
9725,house,802.06,4,4,No,3,North-East,Vir Nagar,,0.78,0,0,0,0,undefined,0,0.5
21111,house,450.0,2,1,1,3,,Madanpuri,,0.95,0,0,0,0,Newly House,3,9.0
7500,house,5133.33,5,6,3+,6,,Sector 82A,vatika sovereign next,3.85,0,0,0,0,undefined,0,0.5
10784,house,612.02,3,2,1,2,,Bhim Nagar,,0.66,0,0,0,0,Old,4,0.0
12162,house,370.0,4,4,2,4,North,Surat Nagar,,0.45,0,0,0,0,Mid,1,57.5
8910,house,953.98,1,2,No,1,,Hno,,0.85,0,0,0,0,Relatively New,0,0.0
10518,house,1426.13,2,2,2,3,South-West,Sector 13,,1.5,1,0,1,0,Old,2,0.0
19869,house,765.01,2,2,1,1,South-East,Sector 17A,,1.52,0,0,0,0,Old,4,6.0
8796,house,1136.88,3,2,2,1,North,New Palam Vihar,,1.0,0,0,1,0,Old,0,0.0
9722,house,1080.02,3,2,No,1,,Hira Nagar,,1.05,0,0,0,0,undefined,0,0.0
7522,house,1130.02,3,3,No,1,,Laxman Vihar,,0.85,0,0,0,0,undefined,0,0.5
5658,house,1025.1,4,2,1,2,East,Ram Nagar,,0.58,0,0,1,0,Old,1,0.0
5000,house,900.0,3,2,No,1,,Baldev Nagar,,0.45,0,0,0,0,undefined,0,0.5
24545,house,550.01,5,3,2,3,South-East,Block G Sector,,1.35,0,0,0,0,Old,4,4.5
7701,house,908.97,2,2,No,1,North-East,Sheetla Colony,,0.7,0,0,0,0,Mid,5,28.0
8235,house,1700.06,2,2,1,3,,Pratap Nagar,,1.4,0,0,0,0,Relatively New,0,0.0
14072,house,3659.75,5,5,No,1,,Sector 39,,5.15,0,0,0,0,Relatively New,0,0.5
26000,house,2500.0,5,5,No,4,,Sector 14,sector,6.5,0,0,0,0,Mid,0,0.0
24305,house,1440.03,6,5,3,3,East,Sector 17,iffco nagar and,3.5,0,0,0,0,Old,9,0.0
19286,house,6999.9,9,9,No,1,East,Dlf Phase,,13.5,0,0,0,0,Relatively New,0,0.5
22634,house,2518.34,9,9,3+,3,North-East,Palam Vihar,,5.7,0,0,1,0,Mid,0,52.0
26570,house,1242.0,1,1,No,,,Sushant Lok Phase,ansal sushant lok plots,3.3,0,0,0,0,Under Construction,0,0.0
11111,house,1575.02,4,2,2,2,,Krishna Colony,,1.75,0,0,0,1,Old,6,2.5
6410,house,1170.05,4,2,2,2,West,Sector 3,bhim garh kheri,0.75,0,0,0,0,Old,3,1.5
133079,house,263.0,8,8,3+,3,South-East,Sector 12A,,3.5,1,1,1,0,Relatively New,10,78.0
15257,house,603.0,4,1,No,1,,Sector 3,,0.92,0,0,0,0,undefined,0,0.5
5778,house,899.97,3,2,2,2,,Farukhnagar,,0.52,0,0,0,0,Newly House,0,0.0
6111,house,1800.03,8,4,3+,2,West,Laxman Vihar,,1.1,0,0,0,0,Old,1,0.0
15625,house,480.0,4,4,2,1,,Sector 6,surendra homes dayanand colony,0.75,0,0,0,0,undefined,0,3.5
78125,house,160.0,2,3,No,1,,Laxman Vihar,,1.25,0,0,0,0,undefined,0,0.5
17955,house,2367.03,4,3,2,1,North-East,Sector 10A,,4.25,0,0,0,0,undefined,0,0.0
7916,house,467.41,1,1,1,1,,Sector 3A,,0.37,0,0,0,0,Relatively New,0,0.0
211111,house,270.0,4,4,No,1,,Sector 54,dlf the grove,5.7,0,0,0,0,undefined,0,3.5
80000,house,100.0,13,6,3+,3,South,Surat Nagar,,0.8,1,1,1,1,Mid,0,0.0
35000,house,600.0,3,2,1,3,,Sector 70A,,2.1,0,0,0,0,Newly House,0,0.5
10000,house,1100.0,5,4,2,1,East,Ashok Vihar Phase,,1.1,0,0,0,0,undefined,0,0.0
120000,house,50.0,5,3,2,3,North,Subhash Nagar,rk excelo,0.6,0,0,0,1,Mid,0,0.0
22297,house,538.19,4,4,3+,4,West,Sohna Road,,1.2,0,0,0,0,Old,2,26.0
125000,house,360.0,4,4,No,4,,Dlf Phase,,4.5,0,0,0,0,undefined,0,0.5
8889,house,899.99,4,4,No,2,,Om Nagar,,0.8,0,0,0,0,Old,0,0.0
73333,house,150.0,2,2,1,,,Bhawani Enclave,,1.1,0,0,0,1,Old,0,3.5
11111,house,2700.03,4,4,No,1,,Garhi Harsaru,,3.0,0,0,0,0,undefined,0,0.0
26235,house,3239.95,4,6,3,3,North,Sector 48,vipul tatvam villa,8.5,0,1,1,1,Old,10,0.0
6790,house,1620.03,5,3,1,2,,Anand Garden,"anand garden, sector-",1.1,1,0,1,0,Old,0,0.0
20833,house,360.01,7,4,3+,4,,Saraswati Vihar,,0.75,0,0,0,0,Mid,1,9.0
315789,house,190.0,9,6,2,2,North-East,Jacobpura,,6.0,0,0,0,0,Old,0,0.5
10224,house,802.03,4,4,No,2,,Arjun Nagar,,0.82,0,0,0,0,undefined,0,0.5
3500,house,1000.0,1,4,1,1,,Gurgaon Faridabad Road,,0.35,0,0,0,0,Mid,0,0.0
3285,house,3500.76,3,2,1,1,,Rajendra Park,,1.15,0,0,0,0,undefined,0,0.5
74000,house,250.0,3,3,3,1,,Sector 67,ansal api esencia,1.85,0,0,0,0,undefined,0,0.0
27139,house,3132.02,6,6,3+,3,East,Sector 63A,anant raj estates,8.5,0,0,1,0,Under Construction,5,0.0
10000,house,900.0,4,5,3,3,West,Tekchand Nagar,,0.9,0,0,0,1,Newly House,2,11.0
5555,house,900.09,2,1,2,1,,Ashok Vihar Phase,,0.5,0,0,0,0,Old,2,3.5
23662,house,2430.06,4,4,2,4,North,Dlf Phase,,5.75,0,1,0,0,Under Construction,27,52.5
17574,house,2645.95,5,5,3+,1,,Sector 53,,4.65,0,0,0,0,Mid,0,56.0
13333,house,5400.14,4,4,3+,4,,Ansal,,7.2,1,1,0,0,Old,0,73.0
10753,house,557.98,3,3,1,2,,Devilal Colony,,0.6,0,0,0,0,Relatively New,0,1.5
9091,house,4949.95,4,5,2,2,East,Prem Nagar,,4.5,0,0,0,0,Old,0,0.0
23557,house,551.85,5,2,1,3,South-West,Jacobpura Near Sadar Bazar,jacobpura gurugram,1.3,0,0,0,1,Old,0,20.0
59259,house,540.0,14,14,3+,6,West,Dlf Phase,,3.2,0,0,0,0,Relatively New,3,143.0
105263,house,57.0,3,3,1,2,,Laxman Vihar,,0.6,0,0,0,1,Old,0,4.5
21195,house,920.03,3,5,3+,2,,Sector 104,hero homes,1.95,0,0,0,0,Mid,0,0.0
151,house,82781.46,10,6,2,3,South-East,Prem Nagar,ganpati heights apartment,1.25,0,0,0,1,Old,2,5.5
25103,house,2429.99,5,6,3+,2,,Sector 109,international city by sobha phase,6.1,0,1,0,0,Mid,8,0.0
13889,house,360.0,5,3,3,3,,Bhim Nagar,,0.5,0,0,0,0,Old,0,6.5
14954,house,1337.43,3,1,No,3,North,Manesar,,2.0,0,0,0,0,Mid,3,0.0
23333,house,900.01,8,8,3+,4,South-East,Saraswati Vihar,housing board colony,2.1,0,0,0,1,Mid,8,33.5
8784,house,1423.04,3,3,2,1,,Sector 89,smart world gems,1.25,1,0,0,1,Under Construction,0,0.0
6500,house,1000.0,6,2,3,1,,Maruti Kunj,,0.65,0,0,0,0,undefined,0,0.0
35494,house,3239.98,5,6,No,1,North-West,Nirvana Country,unitech espace,11.5,0,0,0,0,undefined,0,0.5
11464,house,785.07,5,4,3,3,North-West,Rajiv Nagar,,0.9,1,1,1,1,Mid,0,0.0
11718,house,640.04,5,4,3,2,,Laxman Vihar,not applicable,0.75,0,0,0,0,Mid,0,0.0
11555,house,1125.05,3,3,1,2,North,Rajendra Park,,1.3,0,0,0,0,Mid,4,0.0
50000,house,96.0,2,2,1,1,North-East,Surat Nagar,shree krishna homes,0.48,1,0,1,1,Newly House,8,11.0
3874,house,1755.29,5,3,No,1,,Sector 3,,0.68,0,0,0,0,undefined,0,0.5
7576,house,1979.94,7,2,No,1,,Sector 3,bhim garh kheri,1.5,0,0,0,0,undefined,0,0.0
11556,house,1124.96,3,3,1,1,East,Rajendra Park,,1.3,0,0,0,0,undefined,0,0.0
10753,house,557.98,2,2,1,1,North-East,Devilal Colony,,0.6,0,0,0,0,Mid,2,0.0
20635,house,3149.99,4,4,3+,2,,Sector 14,sector,6.5,0,0,0,0,Mid,0,0.0
10378,house,472.15,2,1,No,1,,Shivji Park Colony,,0.49,0,0,0,0,Old,1,0.0
11888,house,900.07,2,2,1,1,,Patel Nagar,,1.07,0,1,0,0,Old,1,0.0
17284,house,1215.0,6,6,3+,3,,Laxmi Garden,,2.1,0,0,0,0,Relatively New,3,3.0
32258,house,1426.0,2,2,2,2,East,Sector 31,,4.6,0,0,0,0,undefined,0,0.0
11111,house,900.01,3,4,2,2,,Ashok Vihar Phase,,1.0,0,0,0,0,Relatively New,0,0.0
12222,house,900.02,6,4,1,1,South-West,Rajendra Park,,1.1,0,0,0,0,undefined,0,0.0
16389,house,1799.99,4,3,2,3,North,Sector 69,tulip yellow,2.95,0,0,1,1,Newly House,18,98.0
31506,house,1460.04,6,4,3+,3,East,Sector 31,huda housing board colony,4.6,0,0,0,1,Old,2,0.0
9722,house,360.01,2,2,1,2,South-East,Ravi Nagar,,0.35,0,0,0,0,Old,0,0.0
12820,house,1170.05,12,9,1,3,East,Laxmi Garden,laxmi garden sector-,1.5,1,1,1,1,Relatively New,15,38.0
229885,house,435.0,8,10,3+,1,West,Dlf Phase,,10.0,0,0,0,0,undefined,0,0.5
10000,house,5200.0,4,5,2,1,,Palam Vihar,ansal celebrity homes,5.2,0,0,0,0,undefined,0,3.5
8889,house,449.99,1,1,No,1,,Laxman Vihar,,0.4,0,0,0,0,Mid,0,0.0
12400,house,500.0,3,3,1,2,,Surat Nagar,shri shyam residency,0.62,0,0,0,1,Mid,1,32.0
9259,house,540.02,5,3,2,3,West,Laxman Vihar Phase,,0.5,0,0,0,0,Old,0,0.0
232,house,215517.24,6,5,3+,2,,Sector 50,,5.0,1,1,1,1,Newly House,0,14.5
15257,house,603.0,4,4,3,4,East,Laxman Vihar Phase,,0.92,0,0,0,1,Mid,0,13.0
218750,house,160.0,6,6,3+,3,North-West,Sector 17,,3.5,0,0,0,0,undefined,0,0.0
54794,house,146.0,5,4,3,3,,Laxman Vihar,not applicable,0.8,0,0,0,0,Under Construction,0,0.0
14245,house,1053.0,2,3,2,1,North,Sohna,,1.5,1,0,1,0,Newly House,15,47.5
6367,house,3533.85,3,5,3+,10,South,Sector 103,,2.25,0,0,0,0,undefined,0,0.0
37313,house,3618.04,5,6,3+,4,North-East,Dlf Phase,,13.5,0,0,0,1,Old,10,92.5
90909,house,55.0,12,4,3,4,,Rajiv Nagar,,0.5,0,0,0,0,Old,3,0.0
9444,house,1800.08,1,1,1,1,,Mianwali Colony,mian wali,1.7,0,1,0,0,Old,1,0.0
5000,house,900.0,3,2,1,2,North-West,Baldev Nagar,,0.45,0,0,0,1,Old,2,8.0
10122,house,1185.54,6,2,1,2,North-West,Rajendra Park,,1.2,0,0,0,0,Old,3,0.0
10000,house,1800.0,4,3,1,1,North-East,Patel Nagar,,1.8,0,0,0,0,Old,3,12.0
8642,house,1735.71,5,3,2,2,,Sector 67,,1.5,0,0,0,0,Newly House,0,0.5
6481,house,540.04,2,2,No,1,North-East,Palam Vihar Extension,palam vihar extension west zone rwa,0.35,0,0,0,0,Newly House,0,0.0
6707,house,820.04,2,2,1,2,South-East,Sector 3A,,0.55,0,0,0,0,Mid,0,0.0
245398,house,175.23,13,13,3+,5,North-West,Sector 38,huda plot sector,4.3,0,0,0,0,Relatively New,2,164.5
9259,house,432.01,1,1,1,1,,Laxman Vihar,not applicable,0.4,0,0,0,0,Mid,0,0.0
11904,house,2520.16,4,4,No,3,North-East,Sector 67,,3.0,0,0,0,0,undefined,0,3.5
9135,house,467.98,3,3,3,2,,Rajendra Park,row house,0.4275,0,0,0,0,Relatively New,0,1.5
7111,house,450.01,2,3,1,1,North-East,Arjun Nagar,,0.32,0,0,0,0,Relatively New,0,0.0
8012,house,586.62,2,1,1,1,East,Laxman Vihar Phase,,0.47,0,0,0,0,Mid,0,0.0
183333,house,300.0,9,9,3+,3,South,Sector 52,ardee city,5.5,0,1,1,1,Mid,5,85.5
12500,house,600.0,3,5,3,3,South-East,Madanpuri,madan puri,0.75,0,0,0,0,Mid,0,28.0
10142,house,700.06,4,2,1,2,,Surat Nagar,,0.71,0,0,0,0,Newly House,0,0.0
8444,house,450.02,2,2,1,1,,Mahalaxmi Garden,,0.38,0,0,0,0,Mid,0,0.0
8125,house,4000.0,4,3,3+,20,,Sector 103,indiabulls centrum park,3.25,0,0,0,0,Under Construction,0,0.0
14583,house,360.01,4,4,2,3,East,Jacobpura,jacobpura,0.525,0,0,0,0,Relatively New,0,0.0
17037,house,1350.0,5,3,3+,3,North-East,Sector 7,huda flats,2.3,1,1,1,0,Old,5,4.0
11538,house,1300.05,10,7,3,4,East,Rajiv Nagar,,1.5,0,0,0,0,Mid,0,0.0
8730,house,1260.02,9,3,3,3,,Rattan Garden,rattan garden,1.1,0,0,0,0,Old,1,0.0
12222,house,1104.57,5,5,1,3,,Mianwali Colony,,1.35,0,0,0,0,Old,6,0.0
14444,house,900.03,6,4,2,3,North-East,Sadar Bazar,krishna palace,1.3,1,0,0,1,Mid,2,2.0
11574,house,1080.01,5,5,1,2,South,Dayanand Colony,,1.25,0,0,1,0,Newly House,0,5.0
26667,house,539.99,4,2,2,1,,Dlf Phase,dlf city plots phase,1.44,0,0,0,0,Old,2,0.0
11111,house,450.0,2,2,2,2,West,Laxman Vihar,naman residency,0.5,1,1,1,1,Newly House,2,3.0
8230,house,1215.07,9,7,3+,3,North,Palam Vihar Extension,,1.0,0,0,1,0,Mid,0,19.0
13095,house,4200.08,9,9,3+,3,South,Sector 23A,,5.5,0,1,0,1,Mid,0,34.5
30556,house,1799.97,4,3,3,2,North,Saraswati Vihar,housing board colony,5.5,0,0,1,1,Old,4,11.5
11852,house,674.99,5,3,1,2,,Laxman Vihar,,0.8,0,0,0,0,Mid,0,12.5
10000,house,900.0,7,4,3+,4,,Shakti Nagar,,0.9,0,0,0,0,Mid,1,0.0
29311,house,1467.03,6,4,2,2,,Sector 47,,4.3,0,0,0,1,Mid,0,0.0
11250,house,800.0,5,5,3,3,,Sector 11,sai kripa floors,0.9,0,0,0,0,Relatively New,0,0.0
30384,house,1069.64,4,4,3,3,,Dlf Phase,,3.25,0,0,0,0,Old,3,0.0
8444,house,450.02,1,1,1,1,North-West,Laxman Vihar,,0.38,0,0,0,0,Mid,0,0.0
19818,house,1872.04,3,3,1,4,,Mianwali Colony,,3.71,0,0,1,0,Mid,0,11.0
1992,house,65261.04,10,10,3+,1,,Dlf Phase,dlf city plot phase,13.0,0,0,0,0,undefined,0,0.5
7619,house,525.0,2,2,1,1,,Palam Vihar Extension,,0.4,0,0,0,0,Relatively New,0,3.5
98214,house,56.0,4,4,No,2,,Rajendra Park,,0.55,0,0,0,0,undefined,0,0.5
13499,house,963.03,5,3,2,3,,New Colony,rattan garden,1.3,0,0,0,0,Old,0,0.5
7820,house,959.08,2,2,3,1,,Sector 92,signature global city,0.75,0,0,0,0,undefined,0,0.5
5555,house,540.05,1,1,2,1,,Sector-5,,0.3,0,0,0,0,Newly House,0,0.0
4000,house,450.0,2,1,1,1,East,Damdma,,0.18,0,0,0,0,Relatively New,0,0.0
14720,house,1052.99,2,3,2,1,North,Sohna,,1.55,1,0,1,0,Under Construction,10,54.0
5664,house,564.97,5,1,No,1,,Garhi Harsaru,,0.32,0,0,0,0,undefined,0,0.0
19753,house,2025.01,5,4,1,2,North-East,Sector 11,,4.0,0,0,0,0,undefined,0,3.5
76000,house,50.0,2,2,2,1,,Rajendra Park,,0.38,0,0,0,0,undefined,0,3.5
37037,house,3240.0,5,6,3+,3,East,Nirvana Country,unitech escape,12.0,0,0,0,0,undefined,0,0.5
63492,house,1260.0,2,1,No,1,,Sector 31,project housing board colony,8.0,0,0,0,0,undefined,0,3.5
9000,house,500.0,1,1,1,3,East,Sector 8,,0.45,0,0,0,0,undefined,0,0.0
4444,house,2700.27,7,3,No,3,,Sector 11,,1.2,0,0,0,0,undefined,0,0.0
2500,house,1600.0,4,2,2,1,East,Sector 6,bhim nagar society,0.4,0,0,0,0,undefined,0,0.0
6667,house,1499.93,1,1,No,1,,Ashok Vihar Phase,,1.0,0,0,0,0,undefined,0,0.5
3704,house,1349.89,5,2,No,2,,Gurgaon,,0.5,0,0,0,0,undefined,0,0.5
12777,house,900.05,2,2,3,4,North,New Jyoti Park,,1.15,0,0,0,0,undefined,0,0.5
6648,house,1052.95,3,3,No,1,,Laxman Vihar,,0.7,0,0,0,0,undefined,0,0.0
11407,house,2700.1,6,4,2,1,,Shivaji Nagar,shivaji nagar residential,3.08,0,0,0,0,undefined,0,3.5
20233,house,1458.01,2,2,No,1,North,Sector 56,,2.95,0,0,0,0,undefined,0,0.5
17778,house,4499.94,6,5,3+,4,,Sector 33,unitech uniworld resorts,8.0,0,0,0,0,undefined,0,0.0
20062,house,3239.96,4,3,No,2,,Sector 82,vatika india next,6.5,0,0,0,0,undefined,0,0.0
11494,house,2610.06,7,7,No,3,,Sector 7,,3.0,0,0,0,0,undefined,0,3.5
25543,house,3131.97,6,5,3+,4,East,Sector 52,raj villas,8.0,0,0,0,0,undefined,0,0.5
12343,house,2227.98,6,6,2,2,,Sector 12A,,2.75,0,0,0,0,undefined,0,0.0
16892,house,1331.99,5,3,No,2,,Sector 7,,2.25,0,0,0,0,undefined,0,0.0
8000,house,1812.5,3,2,1,1,North,Gandhi Nagar,,1.45,0,0,0,0,Relatively New,0,0.0
17500,house,2000.0,3,3,1,2,North-East,Lajpat Nagar,,3.5,0,0,0,0,undefined,0,3.5
3904,house,2100.41,3,2,1,1,North,Sohna Gurgaon Road,,0.82,0,0,0,0,undefined,0,0.5
14323,house,7330.87,5,4,3+,1,East,Sector 108,sobha city,10.5,0,0,0,0,undefined,0,0.0
4222,house,900.05,3,3,3,3,,Jacobpura,,0.38,0,0,0,0,Relatively New,0,0.0
181818,house,550.0,5,6,3,4,North-East,Sector 33,unitech uniworld resorts,10.0,1,1,0,0,Newly House,5,0.0
75000,house,100.0,2,3,2,3,,Mahavir Pura,mahavir pura,0.75,0,0,0,0,Old,0,0.0
26620,house,1728.02,7,6,3+,4,,Malibu Town,,4.6,0,0,0,0,Mid,9,57.0
5555,house,900.09,2,1,2,1,,Sohna Road,,0.5,0,0,0,0,Mid,0,0.0
10000,house,7000.0,10,11,3+,4,South-East,Sector 39,,7.0,0,0,1,0,Relatively New,3,155.0
9722,house,360.01,2,1,No,,,Jacobpura,jacob pura,0.35,0,0,0,0,Old,0,0.0
9500,house,1000.0,5,3,2,2,West,Sector 37B,,0.95,0,0,1,0,Relatively New,0,0.0
17937,house,892.01,1,1,2,2,,Sector 39,,1.6,0,0,0,0,Old,8,0.0
3254,house,891.21,2,1,No,0,West,Garhi Harsaru,,0.29,0,0,0,0,Old,0,0.0
5333,house,450.03,2,2,No,2,North,Bhondsi,"nirmal enclave, maruti kunj road",0.24,0,0,0,0,Relatively New,0,0.0
30556,house,1832.7,4,3,3+,3,South-West,G Block Dlf City Phase,,5.6,0,0,0,0,Mid,6,16.5
4583,house,1200.09,2,2,No,2,North-East,Manohar Nagar,,0.55,0,0,0,0,undefined,0,0.0
12500,house,4000.0,6,4,No,3,,Palam Vihar,ansals palam vihar,5.0,0,0,0,0,undefined,0,0.5
21875,house,822.86,1,1,2,3,North-East,Sector 39,,1.8,0,0,0,0,Relatively New,0,0.0
16667,house,899.98,9,3,3+,3,,Gurgaon,,1.5,0,0,0,0,undefined,0,0.5
7075,house,1484.1,3,3,3,3,South-East,Park View,ansal esencia sovereign floors,1.05,0,0,0,0,undefined,0,0.5
8078,house,2228.27,8,5,2,1,South,Shakti Nagar,,1.8,0,0,0,0,undefined,0,0.0
4251,house,1035.05,3,2,1,1,,Bhondsi,,0.44,0,0,1,1,Relatively New,7,0.0
17584,house,472.02,5,3,2,3,East,New Colony,rattan garden,0.83,0,0,0,0,undefined,0,0.0
5397,house,1297.02,2,2,2,14,North-East,Sector 89,greenopolis,0.7,0,0,0,0,undefined,0,0.5
9074,house,1080.01,9,4,3,1,South,Palam Vihar Extension,,0.98,0,0,0,0,undefined,0,0.0
5583,house,6000.36,6,5,3+,3,South,Sector 48,vipul world,3.35,0,0,0,0,undefined,0,0.5
3519,house,1349.82,3,4,No,3,,Laxman Vihar,,0.475,0,0,0,0,undefined,0,0.5
11194,house,1072.0,5,4,2,3,,Jyoti Park,,1.2,0,0,0,0,undefined,0,0.5
100000,house,900.0,10,5,3+,4,,Rajiv Nagar,,9.0,0,0,0,0,Old,0,7.0
6981,house,4426.3,5,5,3+,14,East,Sector 72,spaze privy,3.09,0,1,0,0,Relatively New,11,45.5
6702,house,4700.09,4,5,No,12,East,Sector 103,satya the hermitage,3.15,0,0,0,0,undefined,0,0.0
9444,house,1800.08,3,3,No,1,,Sector 12A,,1.7,0,0,0,0,undefined,0,0.5
10556,house,4499.81,6,7,No,4,,Sector 1,,4.75,0,0,0,0,undefined,0,3.5
18333,house,900.02,2,3,No,3,,Sector 9,,1.65,0,0,0,0,undefined,0,0.5
4877,house,1742.87,4,4,3,4,,Sector 92,sare crescent parc royal greens phase,0.85,0,0,0,0,undefined,0,0.5
7479,house,2674.15,4,3,No,1,North,Sohna Gurgaon Road,,2.0,0,0,0,0,undefined,0,0.5
7400,house,1000.0,3,3,No,2,,Vishnu Garden,,0.74,0,0,0,0,undefined,0,0.0
16003,house,1156.03,4,3,2,3,,Sector 1,,1.85,0,0,0,0,undefined,0,0.5
8000,house,500.0,2,1,No,1,South,Ashok Vihar Phase,,0.4,0,0,0,0,undefined,0,0.0
9444,house,900.04,5,3,3,1,,Ashok Vihar Phase,,0.85,0,0,0,0,undefined,0,0.5
9103,house,757.99,1,1,1,2,,Jyoti Park,,0.69,0,0,0,0,undefined,0,0.0
7727,house,1100.04,2,2,No,4,North-East,Sector 6,anshul,0.85,0,0,0,0,undefined,0,0.5
45710,house,2844.02,6,8,3+,,,Dlf Phase,,13.0,1,1,1,0,Relatively New,0,95.0
8702,house,1608.83,2,2,1,2,North-East,Subhash Nagar,,1.4,0,0,0,0,Old,0,0.0
5950,house,3025.21,5,5,3+,3,,Ravi Nager Basai Road,,1.8,0,0,0,0,Mid,0,0.0
3500,house,2000.0,4,4,No,2,East,Begampur Khatola,,0.7,0,0,0,0,undefined,0,0.0
9722,house,720.02,4,3,2,3,West,Dhankot,,0.7,0,0,1,0,Relatively New,2,7.5
8889,house,2699.97,10,5,3,2,North,Shivpuri,shivpuri,2.4,1,1,1,0,Old,2,19.0
26973,house,1241.98,1,1,No,1,East,C Block Sushant Lok Phase,,3.35,0,0,0,0,Old,2,0.0
32407,house,2160.03,3,2,No,1,,Nirvana Country,,7.0,0,0,0,0,undefined,0,0.5
13750,house,1200.0,1,1,No,1,,Sector 41,,1.65,0,0,0,0,undefined,0,0.5
6000,house,1000.0,1,1,No,1,,Sector 3A,,0.6,0,0,0,0,undefined,0,0.5
14890,house,1631.97,4,4,2,3,South-West,Shivpuri,,2.43,1,0,1,0,Old,7,0.0
9210,house,3800.22,1,1,No,1,,Sector 3,,3.5,0,0,0,0,undefined,0,0.0
6800,house,500.0,1,1,No,1,,Sector 110,,0.34,0,0,0,0,undefined,0,3.5
10518,house,713.06,6,4,1,3,,Sector 6,,0.75,0,0,0,0,Mid,12,7.5
7333,house,750.03,1,1,No,1,,Sector 3A,,0.55,0,0,0,0,undefined,0,0.5
8101,house,864.09,4,2,No,2,North,Gandhi Nagar,,0.7,0,0,0,0,Old,1,0.0
6944,house,9000.58,3,3,No,1,,Sohna Road,,6.25,0,0,0,0,Mid,0,0.0
14184,house,846.02,4,4,2,2,North,Jacobpura,,1.2,0,0,1,0,Relatively New,1,24.0
4260,house,1150.23,2,2,1,3,,Sohna Road,,0.49,0,0,0,0,Newly House,0,0.0
10582,house,1890.0,10,10,3,3,,Rajiv Chowk,hans enclave,2.0,0,0,0,0,Mid,0,0.0
9390,house,394.04,1,1,No,3,,Devi Lal Colony Gali No,,0.37,0,0,0,0,Mid,0,0.0
84000,house,50.0,5,3,2,3,,Sector 86,ss omnia,0.42,0,0,0,0,Relatively New,0,0.0
6938,house,1081.0,3,1,No,1,,Sector 36,,0.75,0,0,0,0,undefined,0,0.5
15555,house,2250.08,10,1,No,1,,Sector 11,,3.5,0,0,0,0,Newly House,0,0.5
33333,house,1350.01,5,5,3+,2,,Dlf Phase,,4.5,0,0,0,0,Old,1,0.0
7539,house,1538.67,1,1,No,1,,Sector 37D,,1.16,0,0,0,0,undefined,0,0.5
10000,house,900.0,3,4,3,3,,Ashok Vihar,,0.9,0,0,0,1,Mid,7,29.0
10067,house,745.01,2,2,2,11,North-East,Sector 76,suncity avenue,0.75,0,0,0,0,Under Construction,8,0.0
1649,house,788.36,1,1,No,0,North-West,Alipur,,0.13,0,0,0,0,Relatively New,0,0.5
10000,house,960.0,7,4,2,3,,Sector 5,sheetla enclave,0.96,0,0,1,0,Mid,0,13.0
10000,house,1350.0,5,5,3+,4,,Sohna Road,sneh vihar,1.35,0,0,0,0,Relatively New,0,0.0
13000,house,500.0,2,1,1,3,East,Laxman Vihar,not applicable,0.65,0,0,0,0,Mid,1,0.0
28898,house,3806.49,8,11,3+,3,East,Dlf Phase,,11.0,1,1,1,1,Old,9,66.0
28200,house,6390.07,9,12,3+,3,North-East,Sector 60,adani brahma samsara,18.02,0,1,0,0,Relatively New,23,53.5
7168,house,917.97,2,2,3,4,,Sector 36,,0.6579999999999999,0,0,0,0,Newly House,0,0.0
20444,house,2250.05,1,1,No,1,,Sector 14,,4.6,0,0,0,0,undefined,0,0.0
