rate,property_type,area,bedRoom,bathroom,balcony,noOfFloor,facing,sector,society_name,Price,Study_room,Servant_room,Pooja_room,Other,age,feature_score,furnish_score
24500,house,1448.98,4,4,3+,2,,Sector 55,,3.55,0,0,0,0,Old,4,38.5
7058,house,3542.08,4,4,3+,3,East,Sector 91,dlf new town heights,2.5,1,1,1,0,Mid,18,50.5
7058,house,3542.08,4,4,3+,3,East,Sector 86,dlf new town heights,2.5,1,1,1,0,Mid,25,55.0
11250,house,8000.0,5,5,3+,3,North-East,Sector 111,puri diplomatic greens,9.0,0,1,0,0,Relatively New,22,20.0
23333,house,900.01,3,3,2,3,North,Sector 40,,2.1,0,0,0,1,Mid,7,35.5
20000,house,2250.0,5,5,1,1,,Sector 14,,4.5,0,0,0,0,Relatively New,0,0.0
35400,house,1836.16,5,4,3+,3,South-East,C Block Sushant Lok Phase,,6.5,0,1,1,0,Mid,6,53.0
40135,house,2367.01,12,12,3+,4,,Sector 40,,9.5,0,0,0,0,Newly House,7,23.5
16244,house,3078.06,4,4,2,2,East,Sector 23,,5.0,0,0,0,0,Old,1,22.0
21605,house,2545.71,4,4,3+,2,North-East,Sector 109,international city by sobha phase,5.5,0,1,0,0,Newly House,15,7.0
10463,house,5399.98,4,4,3+,2,North-East,Sector 109,international city by sobha phase,5.65,0,1,0,1,Newly House,9,31.5
41615,house,2114.62,4,4,3+,3,South-East,Sector 66,emaar mgf marbella,8.8,0,1,1,0,Relatively New,21,21.0
14444,house,2250.07,3,3,2,2,South-East,Sector 4,,3.25,0,0,0,0,Old,4,15.0
10101,house,4950.0,3,3,2,1,North-East,Sector 4,,5.0,0,0,0,0,Old,3,16.0
38703,house,2700.05,4,5,2,3,North,Nirvana Country,,10.45,1,1,1,0,Mid,24,23.0
22222,house,8775.09,5,6,3,2,North,Sector 48,vipul tatvam villa,19.5,1,1,1,0,Mid,24,57.5
23148,house,3240.02,5,5,3+,2,East,Sector 82,,7.5,0,1,1,0,Relatively New,17,69.5
8557,house,782.98,3,2,1,1,South,Laxman Vihar Phase,,0.67,0,0,1,1,Mid,3,0.0
16428,house,3500.12,4,4,2,3,South-East,Sector 109,international city by sobha phase,5.75,0,1,0,0,Relatively New,24,15.0
10556,house,5399.77,4,5,3+,3,East,Sector 109,international city by sobha phase,5.7,1,1,1,0,Relatively New,27,24.5
13519,house,2367.04,3,3,2,1,East,Sector 9,,3.2,0,0,0,0,Old,6,30.0
42032,house,2736.01,12,13,3+,4,West,Sector 56,,11.5,1,1,1,0,Relatively New,10,33.0
24069,house,3194.98,4,5,3,2,North-West,Sector 48,vipul tatvam villa,7.69,1,1,1,0,Mid,24,51.5
21605,house,3239.99,4,4,3+,1,North-East,Sector 82,,7.0,1,1,1,0,Relatively New,10,64.5
13889,house,1115.99,2,2,2,1,East,New Colony,,1.55,0,0,0,0,Mid,7,40.0
14650,house,2627.99,4,4,3,3,North-West,Sector 7,,3.85,0,0,0,0,Old,4,10.5
13889,house,1439.99,2,2,2,2,North-West,Sector 7,,2.0,0,0,0,0,Old,3,23.0
13778,house,2249.96,3,3,2,2,North-West,Sector 7,,3.1,0,0,0,0,Old,3,27.0
15625,house,1440.0,3,3,2,2,North-West,Sector 7,,2.25,0,0,0,0,Old,4,42.0
23333,house,3000.04,4,4,2,3,North-East,Nirvana Country,,7.0,0,1,0,0,Old,21,31.5
21250,house,4000.0,4,5,3+,2,North,Sector 48,vipul tatvam villa,8.5,1,1,1,1,Mid,10,60.0
38667,house,2249.98,4,5,2,3,East,Sector 66,emaar mgf marbella,8.7,1,1,0,0,Newly House,26,0.0
26667,house,4687.44,5,6,3,3,East,Sector 109,international city by sobha phase,12.5,1,1,1,0,Relatively New,13,43.0
12593,house,5399.83,4,5,3,2,North-West,Sector 109,international city by sobha phase,6.8,0,1,0,0,Relatively New,10,0.0
26389,house,3599.98,7,6,3,3,West,Sector 109,international city by sobha phase,9.5,1,1,1,0,Relatively New,24,0.0
12963,house,5399.98,5,6,2,2,West,Sector 109,international city by sobha phase,7.0,0,1,0,0,Relatively New,25,0.0
25514,house,2430.04,5,5,2,2,South-West,Sector 109,international city by sobha phase,6.2,0,1,0,0,Relatively New,25,29.0
24845,house,1448.98,5,5,3+,3,North-East,Sector 56,huda sector-,3.6,0,0,0,1,Mid,9,20.0
