area,property_type,bedRoom,bathroom,balcony,facing,sector,society_name,Price,Study_room,Servant_room,Pooja_room,Other,floor,age,feature_score,furnish_score,rate
5000,flat,2,2,1,West,Krishna Colony,maa bhagwati residency,0.45,0,0,0,0,4.0,Relatively New,5,7.0,900.0
7692,flat,2,2,1,West,Ashok Vihar,apna enclave,0.5,0,0,0,0,1.0,Old,5,18.5,650.0260010400416
6722,flat,2,2,3,,Sohna,tulsiani easy in homes,0.4,0,0,0,0,12.0,Newly House,16,0.0,595.0609937518595
12250,flat,2,2,2,,Sector 61,smart world orchard,1.47,1,0,0,0,2.0,Under Construction,18,0.0,1200.0
5204,flat,2,2,3,,Sector 92,parkwood westend,0.7,1,0,0,0,5.0,Under Construction,0,0.0,1345.119139123751
6269,flat,2,2,3,,Sector 36,signature global infinity mall,0.41,0,0,0,0,3.0,undefined,0,0.0,654.0118041154889
13333,flat,3,3,3,,Dwarka Expressway Gurgaon,the cocoon,2.0,0,0,0,0,5.0,Newly House,0,0.0,1500.0375009375234
7860,flat,3,4,3,,Sector 104,ats triumph,1.8,0,0,0,0,14.0,Newly House,20,0.0,2290.0763358778627
8148,flat,2,4,3+,North-East,Sector 88B,vatika xpressions,1.1,1,0,0,0,2.0,Under Construction,18,0.0,1350.0245459008345
16885,flat,3,3,2,,Sector 78,raheja revanta,4.75,0,1,0,0,31.0,Under Construction,18,0.0,2813.1477642878294
9767,flat,2,2,2,,Sector 81,signature global city,0.96,0,0,0,0,1.0,Under Construction,9,0.0,982.9016074536705
5587,flat,2,2,1,,Sohna,hcbs sports ville,0.29,0,0,0,0,4.0,Relatively New,8,0.0,519.062108466082
6940,flat,3,3,3,,Sector 79,supertech araville,1.35,0,0,0,0,4.0,Relatively New,0,11.5,1945.2449567723343
6859,flat,2,2,3+,South-East,Sector 33,godrej,0.95,0,0,0,0,3.0,Under Construction,0,0.0,1385.0415512465374
5384,flat,2,2,3,,Sector 90,shree vardhman flora,0.7,1,0,0,0,13.0,Newly House,5,0.0,1300.148588410104
16859,flat,4,5,3,,Sector 108,sobha city,3.95,0,0,0,0,25.0,undefined,0,0.5,2342.962216027048
14084,flat,1,1,No,,Sector 62,senate court,0.9,0,0,0,0,0.0,undefined,0,0.0,639.0230048281738
11475,flat,2,2,2,,Sector 102,shapoorji pallonji joyville gurugram,1.05,0,0,0,0,0.0,Under Construction,9,0.0,915.0326797385621
10476,flat,3,3,3,North-East,Sector-33,central park flower valley,2.2,0,1,0,0,12.0,Newly House,9,10.0,2100.038182512409
9156,flat,2,2,2,,Sector 89,smart world gems,1.01,1,0,0,0,4.0,Under Construction,15,0.0,1103.1017911751858
8604,flat,3,4,3+,North,Sector 79,bestech altura,1.85,0,1,0,0,11.0,Newly House,9,19.0,2150.1627150162717
7796,flat,2,3,3,,Sector 89,smart world gems,0.86,0,0,0,0,4.0,Under Construction,0,0.0,1103.129810159056
9135,flat,3,3,3+,South-West,Sector 102,emaar imperial gardens,1.85,0,1,0,0,0.0,Relatively New,23,47.5,2025.1778872468528
12855,flat,3,3,3+,East,Sector 113,la vida by tata housing,2.85,0,1,0,0,10.0,Newly House,18,0.0,2217.0361726954493
7910,flat,2,2,1,,Sector 36,the serenas,0.42,0,0,0,0,3.0,undefined,0,3.5,530.9734513274336
18331,flat,3,4,2,North-East,Sector 65,mm golfestate,6.15,0,0,0,0,20.0,undefined,0,0.0,3354.972451039223
24300,flat,3,5,3+,South-East,Sector 48,central park resort belgravia residences,6.25,0,1,0,0,5.0,Mid,9,63.0,2572.01646090535
5600,flat,2,2,2,North,Sector 37C,apex builders,0.42,0,0,0,0,4.0,Relatively New,8,0.0,750.0
12784,flat,2,2,No,North-East,Sector 3,godrej habitat,1.35,0,0,0,0,4.0,undefined,0,0.5,1056.0075093867333
26936,flat,2,2,2,,New Palam Vihar,ompee k s residency,1.6,0,0,0,0,1.0,Relatively New,0,0.0,594.000594000594
10156,flat,4,4,3+,,Sector 43,bhawna cghs,3.25,0,0,1,0,12.0,Mid,20,38.0,3200.0787711697517
7194,flat,2,2,1,,Sector 88A,adani aangan arcade,0.45,0,0,0,0,8.0,Newly House,5,7.0,625.5212677231026
6538,flat,3,2,2,,Sector 92,sare green parc,0.85,0,0,0,0,20.0,undefined,0,0.0,1300.0917711838483
5769,flat,2,2,3,North-East,Sector 90,shree vardhman flora,0.75,0,0,0,0,8.0,undefined,0,0.5,1300.0520020800832
6950,flat,2,2,3+,,Sector 68,supertech hues,0.82,0,0,0,1,21.0,Under Construction,20,0.0,1179.8561151079136
8866,flat,3,3,2,East,Sector 109,chintels paradiso,1.8,0,1,0,0,0.0,Mid,15,0.0,2030.2278366794496
5403,flat,2,2,2,North-East,Sohna,breez global hill view,0.2999,0,0,0,0,6.0,Newly House,20,1.5,555.062002591153
5714,flat,2,2,3,North,Sector 37C,ild greens,0.78,0,0,0,0,1.0,Mid,24,18.5,1365.0682534126706
15151,flat,3,3,2,North,Sector 43,ansal sushant lok ci,2.0,0,1,0,0,1.0,Old,3,37.0,1320.044881525972
6200,flat,2,2,3+,North-West,Sohna,ashiana mulberry,0.74,0,0,0,0,12.0,Newly House,16,3.0,1193.5483870967741
16000,flat,3,3,3+,,Sector 106,godrej meridien,3.2,0,1,0,0,6.0,Under Construction,9,0.0,2000.0
6378,flat,4,4,3+,North,Sector 82,mapsko casa bella,1.3,0,1,0,0,1.0,Relatively New,27,0.0,2038.2565067419255
