area,property_type,bedRoom,bathroom,balcony,sector,Price,Study_room,Servant_room,Pooja_room,Other,floor,age,feature_score,furnish_score
4320.0,flat,3,3,3+,37C,1.0,0,0,0,0,Mid Floor,Under Construction,Medium,Unfurnished
11111.0,flat,3,3,3,57,2.5,0,0,0,0,Mid Floor,Mid,Low,Unfurnished
10410.0,flat,2,2,2,3,1.1,0,0,0,0,High Floor,Under Construction,Low,Unfurnished
5178.0,flat,2,2,2,95,0.29,0,0,0,0,High Floor,Relatively New,Medium,Unfurnished
5556.0,flat,2,2,3,95,0.55,0,0,0,0,High Floor,Relatively New,Low,Low
4744.0,flat,3,2,3,92,0.65,0,0,0,0,Mid Floor,Relatively New,Low,Unfurnished
9406.0,flat,2,2,2,Sohna,0.5,0,0,0,0,Mid Floor,Newly House,Low,Unfurnished
5521.0,flat,2,2,1,99A,0.3175,0,0,0,0,Low Floor,Newly House,Medium,Unfurnished
6404.0,flat,2,3,3,103,0.93,0,1,0,0,Mid Floor,Relatively New,High,Medium
8432.0,flat,3,3,2,89,1.2,0,0,0,0,Low Floor,Under Construction,Low,Unfurnished
4687.0,flat,2,2,2,Sohna,0.3,0,0,0,0,Mid Floor,Relatively New,Medium,High
6812.0,flat,2,2,3,Sohna,0.56,0,0,0,0,Mid Floor,Newly House,High,Unfurnished
12505.0,flat,3,4,3+,49,2.7,0,0,0,0,Mid Floor,Mid,Low,Unfurnished
5128.0,flat,3,4,3,90,1.0,0,1,0,0,Mid Floor,Newly House,High,Unfurnished
11153.0,flat,3,2,2,30,1.45,0,0,0,0,Low Floor,Old,Medium,High
8784.0,flat,3,3,No,89,1.25,0,0,0,0,Mid Floor,Under Construction,Low,Unfurnished
711.0,flat,2,2,1,86,0.46,0,0,0,0,Low Floor,Under Construction,Low,Unfurnished
10599.0,flat,5,5,3+,66,4.5,0,1,0,0,High Floor,Newly House,High,High
6500.0,flat,2,2,1,15,0.64,0,0,0,0,Low Floor,Newly House,Low,Low
3768.0,flat,2,2,1,Sohna,0.28,0,0,0,0,High Floor,Relatively New,Low,Unfurnished
17200.0,flat,3,4,3+,61,3.87,0,1,0,0,High Floor,Under Construction,Medium,Low
6338.0,flat,3,3,1,109,1.38,0,0,0,0,Mid Floor,Mid,Low,Unfurnished
6615.0,flat,2,2,1,Laxman Vihar,0.43,0,0,0,0,Low Floor,Relatively New,Low,Low
3166.0,flat,2,1,1,New Palam Vihar,0.285,0,0,0,1,Low Floor,Relatively New,Low,Medium
9838.0,flat,2,2,2,37D,1.1,0,0,0,0,Mid Floor,Relatively New,Low,Low
13957.0,flat,2,2,2,65,2.0,0,0,0,0,High Floor,Relatively New,Low,Unfurnished
8035.0,flat,3,2,2,Sohna,0.9,0,0,0,0,Low Floor,Under Construction,High,Unfurnished
8036.0,flat,3,2,No,Sohna,0.9,0,0,0,0,Low Floor,Under Construction,Low,Unfurnished
8768.0,flat,3,3,No,33,1.75,0,0,0,0,Low Floor,Under Construction,Low,Unfurnished
8611.0,flat,2,2,2,68,0.93,0,0,0,0,High Floor,Newly House,Low,Low
6600.0,flat,4,4,3+,90,1.8,0,0,0,0,High Floor,Mid,Low,Unfurnished
11738.0,flat,3,3,2,33,2.1,0,0,0,0,Mid Floor,Under Construction,Medium,Unfurnished
14492.0,flat,2,2,2,22,2.0,0,0,0,0,Mid Floor,Relatively New,Low,Medium
12800.0,flat,3,3,2,63A,2.0,0,0,0,0,Low Floor,Under Construction,Low,Low
7800.0,flat,3,3,3,88A,1.29,1,0,0,1,Mid Floor,Newly House,High,Unfurnished
15590.0,flat,3,3,3,65,2.85,0,0,0,0,High Floor,Under Construction,High,Low
5641.0,flat,3,3,3,79,1.1,0,0,0,0,Low Floor,Relatively New,Medium,Medium
13750.0,flat,2,2,2,61,1.65,1,0,0,0,Low Floor,Under Construction,Medium,Unfurnished
