area,property_type,bedRoom,bathroom,balcony,sector,Study_room,Servant_room,Pooja_room,Other,floor,age,feature_score,furnish_score,price
8863.0,0.0,4,4,2.0,79.0,0,0,0,0,2.0,1.0,1.0,25.0,1.9
4320.0,0.0,3,3,3.0,44.0,0,0,0,0,2.0,4.0,2.0,0.0,1.0
11111.0,0.0,3,3,2.0,67.0,0,0,0,0,2.0,0.0,1.0,0.0,2.5
10410.0,0.0,2,2,1.0,34.0,0,0,0,0,0.0,4.0,1.0,0.0,1.1
5178.0,0.0,2,2,1.0,110.0,0,0,0,0,0.0,3.0,2.0,0.0,0.29
5556.0,0.0,2,2,2.0,110.0,0,0,0,0,0.0,3.0,1.0,0.5,0.55
4744.0,0.0,3,2,2.0,108.0,0,0,0,0,2.0,3.0,1.0,0.0,0.65
9406.0,0.0,2,2,1.0,249.0,0,0,0,0,2.0,1.0,1.0,0.0,0.5
5521.0,0.0,2,2,0.0,113.0,0,0,0,0,1.0,1.0,2.0,0.0,0.3175
6404.0,0.0,2,3,2.0,2.0,0,1,0,0,2.0,3.0,0.0,21.5,0.93
8432.0,0.0,3,3,1.0,104.0,0,0,0,0,1.0,4.0,1.0,0.0,1.2
4687.0,0.0,2,2,1.0,249.0,0,0,0,0,2.0,3.0,2.0,10.5,0.3
6812.0,0.0,2,2,2.0,249.0,0,0,0,0,2.0,1.0,0.0,0.0,0.56
12505.0,0.0,3,4,3.0,58.0,0,0,0,0,2.0,0.0,1.0,0.0,2.7
5128.0,0.0,3,4,2.0,106.0,0,1,0,0,2.0,1.0,0.0,0.0,1.0
11153.0,0.0,3,2,1.0,35.0,0,0,0,0,1.0,2.0,2.0,35.0,1.45
8784.0,0.0,3,3,4.0,104.0,0,0,0,0,2.0,4.0,1.0,0.0,1.25
711.0,0.0,2,2,0.0,101.0,0,0,0,0,1.0,4.0,1.0,0.0,0.46
10599.0,0.0,5,5,3.0,77.0,0,1,0,0,0.0,1.0,0.0,34.0,4.5
6500.0,0.0,2,2,0.0,19.0,0,0,0,0,1.0,1.0,1.0,2.0,0.64
3768.0,0.0,2,2,0.0,249.0,0,0,0,0,0.0,3.0,1.0,0.0,0.28
